genome_ID	OTU	NCBI_ID	novelty_category
mgq	96	2097	known_strain
amah	97	332411	known_strain
melm	98	2116657	known_strain
clr	99	201	known_strain
pel	100	198251	known_strain
rsv	101	35794	known_strain
spn	102	1313	known_strain
paet	103	749	known_strain
bbrv	104	1685	known_strain
spk	105	1314	known_strain
jli	106	53458	known_strain
ptw	107	2725477	known_strain
hahe	108	2760304	known_strain
lmox	109	1639	known_strain
acd	110	1148157	known_strain
arq	111	1667	known_strain
afw	112	1872521	known_strain
aha	113	644	known_strain
lms	114	1639	known_strain
ena	115	562	known_strain
salx	116	216931	known_strain
tpy	117	1661	known_strain
geq	118	1966354	known_strain
mcac	119	2095	known_strain
sen	120	1836	known_strain
ccau	121	1124835	known_strain
hcl	122	45498	known_strain
ddt	123	79604	known_strain
nak	124	1902245	known_strain
psyn	125	2020870	known_strain
csal	126	2547600	known_strain
fgi	127	1005039	known_strain
csp	128	146827	known_strain
aln	129	1872427	known_strain
spne	130	1313	known_strain
halk	131	272774	known_strain
pnr	132	93219	known_strain
cps	133	28229	known_strain
nba	134	2067065	known_strain
cbei	135	1520	known_strain
lrm	136	1623	known_strain
eda	137	1934404	known_strain
mgv	138	2096	known_strain
woc	139	1548547	known_strain
mico	140	2651334	known_strain
aav	141	80869	known_strain
lmg	142	1639	known_strain
cpsa	143	83554	known_strain
cpz	144	1719	known_strain
mhos	145	162426	known_strain
ctx	146	1515	known_strain
phao	147	2725558	known_strain
paln	148	247523	known_strain
dde	149	58180	known_strain
ddh	150	36854	known_strain
amc	151	314275	known_strain
seq	152	1336	known_strain
tpav	153	138851	known_strain
spa	154	1314	known_strain
sthm	155	215580	known_strain
deq	156	1871048	known_strain
ten	157	1850252	known_strain
msto	158	470076	known_strain
mcx	159	78331	known_strain
azd	160	29544	known_strain
mnm	161	2492438	known_strain
tmar	162	107401	known_strain
aprs	163	2819280	known_strain
spiu	164	1335757	known_strain
ccel	165	29343	known_strain
sacc	166	75294	known_strain
ann	167	1167	known_strain
bbur	168	139	known_strain
bbb	169	28025	known_strain
kpar	170	1278232	known_strain
mne	171	1795	known_strain
mii	172	1908541	known_strain
mrub	173	2027860	known_strain
fuv	174	2810512	known_strain
sfq	175	46127	known_strain
cua	176	43771	known_strain
mhat	177	75985	known_strain
splr	178	82348	known_strain
seep	179	28901	known_strain
mshg	180	722731	known_strain
rpe	181	1076	known_strain
blw	182	28025	known_strain
nhm	183	33994	known_strain
plan	184	622681	known_strain
tcl	185	96773	known_strain
spnm	186	1313	known_strain
edh	187	562	known_strain
ebs	188	1884224	known_strain
vne	189	163877	known_strain
acaa	190	1912871	known_strain
heu	191	210	known_strain
vim	192	1872700	known_strain
ndo	193	328515	known_strain
pmaa	194	267375	known_strain
arf	195	1229621	known_strain
mlv	196	1072463	known_strain
mgw	197	2096	known_strain
syw	198	1131	known_strain
hpj	199	210	known_strain
eih	200	562	known_strain
dml	201	897	known_strain
grl	202	1913577	known_strain
aap	203	732	known_strain
llp	204	418701	known_strain
cly	205	979	known_strain
mfn	206	1921087	known_strain
lyz	207	1869345	known_strain
paw	208	1747	known_strain
sade	209	1076625	known_strain
kon	210	33055	known_strain
csk	211	28141	known_strain
fri	212	298654	known_strain
apai	213	1080223	known_strain
cmz	214	83560	known_strain
smb	215	28037	known_strain
sio	216	1346	known_strain
ain	217	187327	known_strain
mcel	218	435905	known_strain
cgra	219	824	known_strain
alt	220	715451	known_strain
spun	221	1904616	known_strain
cts	222	100716	known_strain
cse	223	88688	known_strain
btrh	224	47735	known_strain
ppe	225	1255	known_strain
cya	226	1131	known_strain
prs	227	290513	known_strain
stir	228	2174846	known_strain
ols	229	133926	known_strain
npf	230	33053	known_strain
cub	231	1869344	known_strain
sscz	232	1295	known_strain
pspu	233	93222	known_strain
rpv	234	782	known_strain
bani	235	28025	known_strain
cjv	236	197	known_strain
bpr	237	28450	known_strain
bup	238	9	known_strain
lrh	239	47715	known_strain
soi	240	45634	known_strain
sfo	241	1639108	known_strain
ahg	242	1470176	known_strain
hmar	243	28885	known_strain
rtn	244	33888	known_strain
sphq	245	1908224	known_strain
drm	246	59610	known_strain
cil	247	254	known_strain
abam	248	2039639	known_strain
acts	249	1871	known_strain
sxo	250	1288	known_strain
kzo	251	1650	known_strain
amm	252	33910	known_strain
chrs	253	1871047	known_strain
sud	254	1280	known_strain
ssem	255	2814293	known_strain
abao	256	2024896	known_strain
sry	257	82996	known_strain
afl	258	33934	known_strain
mflv	259	1776	known_strain
pfak	260	2842355	known_strain
halt	261	2779775	known_strain
limn	262	2003368	known_strain
pep	263	1411316	known_strain
stra	264	1306	known_strain
rch	265	1161942	known_strain
cdh	266	1717	known_strain
khi	267	421525	known_strain
mphi	268	142650	known_strain
bxh	269	1390	known_strain
shyr	270	2923290	known_strain
haf	271	1486246	known_strain
pym	272	515393	known_strain
cds	273	1717	known_strain
spai	274	1813879	known_strain
lpe	275	446	known_strain
mov	276	171632	known_strain
ash	277	328814	known_strain
metp	278	2067992	known_strain
lpm	279	446	known_strain
sph	280	1314	known_strain
pmui	281	95301	known_strain
tmai	282	2047767	known_strain
hpm	283	210	known_strain
cthi	284	1653476	known_strain
capf	285	44737	known_strain
ptrt	286	2745518	known_strain
hef	287	210	known_strain
rtt	288	785	known_strain
gfa	289	38308	known_strain
asg	290	59505	known_strain
nim	291	453161	known_strain
faa	292	143361	known_strain
pcol	293	1987580	known_strain
asag	294	2583587	known_strain
olo	295	2042683	known_strain
txa	296	2739063	known_strain
etc	297	1263550	known_strain
cno	298	1542	known_strain
cfus	299	43	known_strain
cmin	300	38301	known_strain
mlac	301	138853	known_strain
ctk	302	813	known_strain
psb	303	317	known_strain
nwr	304	1814290	known_strain
bst	305	1423	known_strain
cwo	306	191495	known_strain
lga	307	1596	known_strain
hhu	308	1178482	known_strain
baci	309	1409	known_strain
lcp	310	435897	known_strain
san	311	1311	known_strain
lec	312	1930076	known_strain
edj	313	562	known_strain
brt	314	2038686	known_strain
cgh	315	1017	known_strain
prh	316	216142	known_strain
paef	317	58172	known_strain
synw	318	1131	known_strain
mmym	319	2102	known_strain
mtim	320	945844	known_strain
soz	321	1314	known_strain
sfb	322	1906	known_strain
wvr	323	1629	known_strain
tvi	324	73141	known_strain
phw	325	1902410	known_strain
aaus	326	589873	known_strain
pxa	327	2842356	known_strain
vfg	328	1191175	known_strain
bww	329	1405	known_strain
mseo	330	386911	known_strain
nap	331	2231114	known_strain
ecr	332	562	known_strain
smai	333	2520507	known_strain
shd	334	748811	known_strain
noi	335	2575440	known_strain
sub	336	1349	known_strain
caml	337	2766537	known_strain
ssw	338	1307	known_strain
rja	339	35790	known_strain
mgan	340	2096	known_strain
ess	341	332949	known_strain
blh	342	1648923	known_strain
cgl	343	1718	known_strain
duc	344	1966486	known_strain
cjp	345	197	known_strain
bage	346	82977	known_strain
pvl	347	584	known_strain
ymo	348	33060	known_strain
vpr	349	29466	known_strain
acad	350	1612552	known_strain
marq	351	2023283	known_strain
wsu	352	844	known_strain
mmk	353	582	known_strain
ptx	354	445709	known_strain
mmw	355	1904862	known_strain
tws	356	2039	known_strain
pmex	357	128785	known_strain
phr	358	1868589	known_strain
hhf	359	863372	known_strain
prx	360	76760	known_strain
abaw	361	2341112	known_strain
lmq	362	1639	known_strain
mhay	363	75985	known_strain
hei	364	210	known_strain
leu	365	1935379	known_strain
mlj	366	169765	known_strain
tna	367	2337	known_strain
ccas	368	1241979	known_strain
brz	369	2017484	known_strain
rpc	370	1076	known_strain
blp	371	34099	known_strain
bpum	372	1408	known_strain
poo	373	1869339	known_strain
aan	374	714	known_strain
csph	375	191493	known_strain
psub	376	913107	known_strain
prv	377	2714937	known_strain
coc	378	1018	known_strain
lpa	379	446	known_strain
kol	380	651457	known_strain
cazo	381	116090	known_strain
ppx	382	303	known_strain
mge	383	2097	known_strain
paev	384	287	known_strain
smiz	385	1010	known_strain
flc	386	1913981	known_strain
bit	387	96241	known_strain
cii	388	156978	known_strain
hpye	389	210	known_strain
rul	390	980254	known_strain
swd	391	60961	known_strain
aal	392	589873	known_strain
sdg	393	1334	known_strain
capr	394	1954376	known_strain
dhr	395	1750598	known_strain
clc	396	301953	known_strain
sdk	397	712036	known_strain
deu	398	892	known_strain
ppro	399	380021	known_strain
fpn	400	1221500	known_strain
psos	401	306	known_strain
lsk	402	2917832	known_strain
pud	403	3040095	known_strain
got	404	1966354	known_strain
hadh	405	2602016	known_strain
hex	406	210	known_strain
mher	407	512402	known_strain
asw	408	217203	known_strain
lla	409	1358	known_strain
blep	410	288004	known_strain
ptq	411	57029	known_strain
amic	412	2697030	known_strain
din	413	936456	known_strain
cgg	414	1718	known_strain
acl	415	2148	known_strain
mpul	416	48003	known_strain
ske	417	60920	known_strain
fki	418	1678728	known_strain
rgo	419	33008	known_strain
cter	420	89154	known_strain
psim	421	2045	known_strain
mpri	422	178399	known_strain
rgl	423	582702	known_strain
shh	424	1283	known_strain
brn	425	2065378	known_strain
zin	426	884214	known_strain
hpar	427	546367	known_strain
ftg	428	263	known_strain
kgy	429	206506	known_strain
aev	430	1872390	known_strain
rml	431	1930274	known_strain
sld	432	47763	known_strain
chre	433	1913979	known_strain
bsn	434	1423	known_strain
serw	435	2593973	known_strain
pdi	436	823	known_strain
tmd	437	340021	known_strain
nmes	438	433659	known_strain
goi	439	249058	known_strain
siu	440	1338	known_strain
arep	441	2744574	known_strain
mle	442	1769	known_strain
lfi	443	178606	known_strain
sig	444	1306	known_strain
mcq	445	78331	known_strain
pie	446	2745503	known_strain
lmy	447	1639	known_strain
raj	448	172042	known_strain
wma	449	1579979	known_strain
brs	450	1404864	known_strain
dal	451	218208	known_strain
spph	452	1592790	known_strain
smue	453	336809	known_strain
gtm	454	33938	known_strain
bhan	455	1322	known_strain
mmax	456	1232428	known_strain
pdk	457	287	known_strain
amac	458	28108	known_strain
pmj	459	1219	known_strain
hpyj	460	210	known_strain
rry	461	33887	known_strain
aprd	462	2900570	known_strain
mtq	463	1773	known_strain
mhaq	464	75985	known_strain
bcv	465	84757	known_strain
cll	466	201	known_strain
ddo	467	326320	known_strain
ment	468	2149	known_strain
pagr	469	1510150	known_strain
badl	470	1680	known_strain
kda	471	2487074	known_strain
end	472	42895	known_strain
btre	473	47735	known_strain
sste	474	643214	known_strain
snv	475	1313	known_strain
synk	476	1131	known_strain
zga	477	63186	known_strain
ssoi	478	1929477	known_strain
alm	479	1727163	known_strain
saup	480	113107	known_strain
cpa	481	83558	known_strain
rtc	482	145458	known_strain
kso	483	33055	known_strain
gvi	484	33072	known_strain
srd	485	1379870	known_strain
taf	486	2421	known_strain
fpla	487	292800	known_strain
gez	488	2585135	known_strain
cda	489	1717	known_strain
dfo	490	1839801	known_strain
pael	491	287	known_strain
cex	492	693075	known_strain
strs	493	1304	known_strain
pma	494	1219	known_strain
kci	495	33055	known_strain
bfv	496	92706	known_strain
niy	497	1872084	known_strain
cchl	498	2598458	known_strain
hoh	499	80816	known_strain
mpq	500	330734	known_strain
nek	501	192066	known_strain
stur	502	216946	known_strain
lti	503	1151742	known_strain
fgo	504	849	known_strain
scha	505	1969	known_strain
bbv	506	1685	known_strain
pkc	507	65741	known_strain
xar	508	56448	known_strain
hpyu	509	210	known_strain
wce	510	759620	known_strain
tpb	511	160	known_strain
psea	512	60912	known_strain
rte	513	1671680	known_strain
med	514	907	known_strain
ptp	515	1284658	known_strain
splb	516	171865	known_strain
lzh	517	2304606	known_strain
abk	518	470	known_strain
sgp	519	1131707	known_strain
git	520	1004901	known_strain
stu	521	1308	known_strain
dfe	522	94254	known_strain
rpn	523	782	known_strain
pfib	524	1891094	known_strain
bgi	525	79881	known_strain
marf	526	1979402	known_strain
bthv	527	35841	known_strain
sse	528	271097	known_strain
att	529	472	known_strain
cdr	530	1717	known_strain
mbas	531	1717717	known_strain
lgz	532	1641	known_strain
nsn	533	2518371	known_strain
nam	534	244787	known_strain
pue	535	37931	known_strain
cvt	536	38305	known_strain
acel	537	433286	known_strain
dtn	538	1006576	known_strain
plit	539	1908341	known_strain
pfac	540	33025	known_strain
avb	541	70346	known_strain
hsd	542	1940278	known_strain
daf	543	873	known_strain
bliq	544	2779518	known_strain
sok	545	1968834	known_strain
tpz	546	85874	known_strain
cto	547	813	known_strain
mcp	548	2095	known_strain
peo	549	76123	known_strain
cgu	550	1718	known_strain
bbx	551	518	known_strain
ccm	552	28188	known_strain
lmoa	553	1639	known_strain
csil	554	2320431	known_strain
bsy	555	1423	known_strain
ssur	556	2741499	known_strain
lpy	557	2589080	known_strain
pprt	558	2509456	known_strain
ccho	559	1862358	known_strain
psya	560	56811	known_strain
agi	561	496057	known_strain
beba	562	1891241	known_strain
fpp	563	1267021	known_strain
sagi	564	1311	known_strain
dhk	565	1886637	known_strain
blem	566	1603886	known_strain
apj	567	715	known_strain
sspo	568	1690221	known_strain
kot	569	1916651	known_strain
bpe	570	520	known_strain
fpe	571	93466	known_strain
cpb	572	1096	known_strain
laf	573	1579	known_strain
mtd	574	1773	known_strain
bcir	575	1397	known_strain
ock	576	2518645	known_strain
scw	577	68192	known_strain
her	578	210	known_strain
mtb	579	1773	known_strain
mox	580	1170227	known_strain
aeu	581	718	known_strain
boz	582	2163011	known_strain
spya	583	1314	known_strain
haz	584	1891311	known_strain
abre	585	76115	known_strain
bdq	586	28201	known_strain
bbi	587	1681	known_strain
bts	588	33943	known_strain
thq	589	28240	known_strain
spm	590	1314	known_strain
sspb	591	68270	known_strain
cbal	592	76594	known_strain
noa	593	1883105	known_strain
carh	594	651561	known_strain
mfw	595	2151	known_strain
dye	596	1869338	known_strain
pir	597	117	known_strain
erh	598	1648	known_strain
ccj	599	161896	known_strain
hpw	600	210	known_strain
blc	601	28025	known_strain
meu	602	29541	known_strain
fbu	603	1871037	known_strain
npy	604	2819028	known_strain
bja	605	1355477	known_strain
mlg	606	569860	known_strain
fgl	607	1492737	known_strain
dae	608	58138	known_strain
psuu	609	624315	known_strain
ifn	610	2682810	known_strain
bpit	611	380240	known_strain
led	612	1586287	known_strain
scaa	613	1987584	known_strain
elz	614	1939629	known_strain
spaq	615	487698	known_strain
lcd	616	1867846	known_strain
msim	617	1784	known_strain
mart	618	1836467	known_strain
cgle	619	250	known_strain
cfl	620	1711	known_strain
meku	621	2675275	known_strain
kme	622	2751313	known_strain
bto	623	47735	known_strain
pry	624	338584	known_strain
cey	625	1592897	known_strain
scyp	626	2814292	known_strain
bths	627	2756	known_strain
lih	628	1907725	known_strain
tho	629	655184	known_strain
lhv	630	1587	known_strain
miv	631	1873136	known_strain
sua	632	202747	known_strain
camp	633	196	known_strain
bbp	634	1681	known_strain
lmos	635	1639	known_strain
mali	636	321983	known_strain
msec	637	518898	known_strain
bthg	638	12966	known_strain
bav	639	521	known_strain
acij	640	2057246	known_strain
sams	641	1280	known_strain
saub	642	1280	known_strain
pshi	643	703	known_strain
mamp	644	273136	known_strain
caz	645	42817	known_strain
smua	646	1309	known_strain
acae	647	2731377	known_strain
pws	648	55208	known_strain
mbb	649	1765	known_strain
dmc	650	61435	known_strain
mesm	651	1871066	known_strain
bchr	652	203804	known_strain
cdy	653	223919	known_strain
tpi	654	88058	known_strain
ron	655	54291	known_strain
mop	656	593909	known_strain
otr	657	1735038	known_strain
ctn	658	813	known_strain
snc	659	1313	known_strain
now	660	2219224	known_strain
saal	661	1331051	known_strain
stri	662	2126346	known_strain
cgm	663	1718	known_strain
smoo	664	2136	known_strain
zal	665	1470434	known_strain
mpc	666	936476	known_strain
csm	667	497724	known_strain
ppv	668	157782	known_strain
alc	669	1785128	known_strain
snd	670	1313	known_strain
samy	671	927083	known_strain
ecok	672	562	known_strain
blen	673	1467	known_strain
cle	674	29360	known_strain
paci	675	1254	known_strain
paej	676	58172	known_strain
syd	677	1131	known_strain
speu	678	1950	known_strain
sgx	679	66892	known_strain
saiu	680	2820884	known_strain
sdn	681	192073	known_strain
mmr	682	74318	known_strain
rmo	683	33991	known_strain
dak	684	427923	known_strain
cod	685	1719	known_strain
dfg	686	1833852	known_strain
tmq	687	2336	known_strain
sagm	688	1311	known_strain
mbt	689	1765	known_strain
vah	690	2714946	known_strain
fek	691	1803846	known_strain
bpa	692	519	known_strain
hwi	693	157268	known_strain
tpm	694	160	known_strain
srh	695	216778	known_strain
pmul	696	747	known_strain
shp	697	24	known_strain
pze	698	2745510	known_strain
mhad	699	29311	known_strain
rher	700	2488810	known_strain
bvy	701	1325724	known_strain
rla	702	529884	known_strain
lgv	703	1363	known_strain
spae	704	1474	known_strain
mnr	705	1882437	known_strain
tao	706	92245	known_strain
gem	707	46610	known_strain
cdd	708	1717	known_strain
srz	709	61652	known_strain
apho	710	1302235	known_strain
scv	711	70255	known_strain
lan	712	1937692	known_strain
esh	713	2071710	known_strain
geb	714	46610	known_strain
chd	715	413888	known_strain
bbr	716	518	known_strain
cgrn	717	33011	known_strain
koy	718	1134687	known_strain
seon	719	1912245	known_strain
lpai	720	2012495	known_strain
cfer	721	2068654	known_strain
tbv	722	215691	known_strain
cor	723	1719	known_strain
ngo	724	485	known_strain
kyr	725	2055160	known_strain
lpx	726	60520	known_strain
mhao	727	75985	known_strain
rsa	728	1646	known_strain
puv	729	83552	known_strain
pwa	730	1905730	known_strain
fcv	731	2906076	known_strain
gsu	732	35554	known_strain
paur	733	1883414	known_strain
salj	734	1940	known_strain
sul	735	2053621	known_strain
sel	736	28901	known_strain
maf	737	33894	known_strain
cact	738	1715691	known_strain
bne	739	588932	known_strain
labr	740	1885934	known_strain
lfb	741	37482	known_strain
goq	742	1136941	known_strain
plum	743	2218628	known_strain
bhf	744	28113	known_strain
bsan	745	1249553	known_strain
bdz	746	28201	known_strain
haa	747	376489	known_strain
hpyg	748	210	known_strain
mgos	749	551996	known_strain
agd	750	496056	known_strain
noz	751	1821	known_strain
scg	752	76860	known_strain
tez	753	1971211	known_strain
tmc	754	451	known_strain
ctrr	755	813	known_strain
ccys	756	35757	known_strain
ptf	757	1177214	known_strain
kpi	758	573	known_strain
pmh	759	1219	known_strain
rtl	760	2761623	known_strain
fbl	761	44012	known_strain
lmp	762	1639	known_strain
sauh	763	114687	known_strain
cmuc	764	202	known_strain
azq	765	2016596	known_strain
ftr	766	263	known_strain
amp	767	770	known_strain
mtl	768	1773	known_strain
arth	769	1667	known_strain
smur	770	72	known_strain
elf	771	562	known_strain
uur	772	134821	known_strain
ade	773	161493	known_strain
aio	774	51049	known_strain
mca	775	414	known_strain
sfv	776	623	known_strain
adt	777	32002	known_strain
surn	778	149016	known_strain
ssm	779	55206	known_strain
hpz	780	210	known_strain
aah	781	714	known_strain
lgo	782	157692	known_strain
lue	783	2698682	known_strain
tel	784	146786	known_strain
ppse	785	301	known_strain
ehh	786	29502	known_strain
bks	787	630129	known_strain
sphe	788	341027	known_strain
sgd	789	45398	known_strain
gbm	790	225194	known_strain
emv	791	2739433	known_strain
sbg	792	54736	known_strain
fse	793	2201181	known_strain
pex	794	2789740	known_strain
pcp	795	587753	known_strain
aji	796	1749	known_strain
suls	797	2053622	known_strain
alam	798	2847778	known_strain
pand	799	1883445	known_strain
hne	800	81032	known_strain
fnf	801	859	known_strain
afo	802	53635	known_strain
mphc	803	142649	known_strain
hpr	804	729	known_strain
carm	805	2505970	known_strain
eca	806	554	known_strain
lch	807	34029	known_strain
cev	808	33043	known_strain
pct	809	554	known_strain
paeu	810	287	known_strain
banl	811	28025	known_strain
hye	812	1898978	known_strain
ams	813	1866	known_strain
xfm	814	2371	known_strain
sgw	815	1433513	known_strain
tmr	816	73919	known_strain
csb	817	169679	known_strain
alo	818	1872461	known_strain
dsl	819	292566	known_strain
ssal	820	1335746	known_strain
plab	821	1928616	known_strain
apet	822	76116	known_strain
det	823	61435	known_strain
smum	824	336809	known_strain
pory	825	2894079	known_strain
cbar	826	1898207	known_strain
lmb	827	1605891	known_strain
sxa	828	2594473	known_strain
pbo	829	1748	known_strain
fer	830	2594003	known_strain
mbs	831	50741	known_strain
cthd	832	84032	known_strain
cjy	833	197	known_strain
nma	834	487	known_strain
ask	835	28200	known_strain
ggr	836	2732249	known_strain
mam	837	536018	known_strain
ssz	838	138074	known_strain
clia	839	2079535	known_strain
tnr	840	184064	known_strain
gmr	841	122	known_strain
sent	842	28901	known_strain
stha	843	259	known_strain
cug	844	1869344	known_strain
des	845	1603606	known_strain
pcay	846	2292766	known_strain
kim	847	2708301	known_strain
stes	848	69392	known_strain
salo	849	1826607	known_strain
chry	850	1871047	known_strain
sst	851	1307	known_strain
cari	852	2594795	known_strain
nom	853	1888209	known_strain
hie	854	727	known_strain
mcys	855	1553431	known_strain
lmod	856	1639	known_strain
svu	857	1935	known_strain
adz	858	873191	known_strain
sja	859	93973	known_strain
sni	860	1313	known_strain
pla	861	256618	known_strain
stem	862	69392	known_strain
tpa	863	160	known_strain
lfu	864	28031	known_strain
stl	865	1308	known_strain
smir	866	2144	known_strain
lcas	867	2675101	known_strain
sgy	868	51197	known_strain
fbc	869	1897614	known_strain
amx	870	543877	known_strain
pxn	871	2745490	known_strain
snr	872	1971	known_strain
fes	873	2724191	known_strain
pdag	874	754	known_strain
cpra	875	279113	known_strain
abac	876	1855912	known_strain
coe	877	1719	known_strain
mbur	878	95641	known_strain
mra	879	1773	known_strain
hor	880	31909	known_strain
rol	881	2527990	known_strain
mvg	882	85404	known_strain
arub	883	1547448	known_strain
phei	884	333962	known_strain
emg	885	238	known_strain
cap	886	133453	known_strain
snx	887	1313	known_strain
eclo	888	158836	known_strain
mauu	889	1791	known_strain
cld	890	1509	known_strain
pfl	891	380021	known_strain
tpw	892	160	known_strain
tmm	893	2336	known_strain
siq	894	1346	known_strain
scin	895	67260	known_strain
hhg	896	1209493	known_strain
prj	897	158850	known_strain
fvg	898	82135	known_strain
cmw	899	413501	known_strain
mets	900	2202825	known_strain
thu	901	1134435	known_strain
cow	902	55205	known_strain
bss	903	1423	known_strain
bqy	904	1390	known_strain
csci	905	29347	known_strain
csc	906	44001	known_strain
baus	907	388640	known_strain
boa	908	28116	known_strain
mmob	909	1808977	known_strain
nja	910	1325564	known_strain
spl	911	70864	known_strain
mmt	912	421	known_strain
lcb	913	1597	known_strain
osg	914	716816	known_strain
bci	915	186490	known_strain
beb	916	1891241	known_strain
ssab	917	216944	known_strain
hmd	918	29570	known_strain
bpt	919	94624	known_strain
stx	920	1314	known_strain
syy	921	1143	known_strain
saq	922	168697	known_strain
mvl	923	2905967	known_strain
miq	924	1127	known_strain
mit	925	1767	known_strain
pns	926	1112	known_strain
afr	927	920	known_strain
ctfs	928	813	known_strain
fop	929	2594004	known_strain
liv	930	1638	known_strain
mmat	931	53462	known_strain
mpli	932	321984	known_strain
lare	933	2795387	known_strain
sek	934	28901	known_strain
paep	935	287	known_strain
paes	936	287	known_strain
dun	937	2518496	known_strain
pty	938	554344	known_strain
mct	939	480	known_strain
hpi	940	210	known_strain
nsc	941	490	known_strain
age	942	48	known_strain
tmed	943	58231	known_strain
krh	944	72000	known_strain
ctcj	945	813	known_strain
mtea	946	2202827	known_strain
bdg	947	993502	known_strain
marr	948	2042994	known_strain
asim	949	218936	known_strain
mvz	950	44822	known_strain
hyr	951	1904254	known_strain
mcv	952	78331	known_strain
mce	953	78331	known_strain
mcra	954	2294034	known_strain
srat	955	1341	known_strain
sace	956	2665642	known_strain
snm	957	1313	known_strain
spib	958	2692134	known_strain
elj	959	214888	known_strain
palo	960	2565926	known_strain
hnv	961	1850093	known_strain
drs	962	55583	known_strain
fpq	963	96345	known_strain
aem	964	647	known_strain
emi	965	423605	known_strain
pmat	966	192421	known_strain
cprp	967	43769	known_strain
hay	968	740	known_strain
cjw	969	197	known_strain
acom	970	41977	known_strain
cyz	971	2080740	known_strain
aty	972	163359	known_strain
llw	973	1358	known_strain
suri	974	300181	known_strain
sor	975	1303	known_strain
cfh	976	1679497	known_strain
fnc	977	851	known_strain
tsm	978	57704	known_strain
amag	979	314275	known_strain
hmo	980	35701	known_strain
sphg	981	1902408	known_strain
cty	982	813	known_strain
spac	983	68249	known_strain
bgn	984	29519	known_strain
aalm	985	370622	known_strain
nsa	986	269261	known_strain
rtg	987	577	known_strain
cbae	988	2029983	known_strain
azr	989	29544	known_strain
pus	990	2028345	known_strain
lsol	991	453783	known_strain
dmt	992	142877	known_strain
barj	993	46358	known_strain
ctcf	994	813	known_strain
mtua	995	479978	known_strain
psl	996	125	known_strain
apd	997	948	known_strain
agy	998	453304	known_strain
sald	999	1915057	known_strain
tbo	1000	29323	known_strain
hte	1001	940	known_strain
nmm	1002	487	known_strain
ldn	1003	683042	known_strain
lxl	1004	1133546	known_strain
marx	1005	2133941	known_strain
otk	1006	2109914	known_strain
ger	1007	2847992	known_strain
tni	1008	186931	known_strain
dalk	1009	571177	known_strain
clz	1010	274537	known_strain
svi	1011	1852	known_strain
ssi	1012	1307	known_strain
csto	1013	1848904	known_strain
aas	1014	281119	known_strain
chs	1015	83554	known_strain
mbos	1016	2770636	known_strain
tol	1017	187493	known_strain
eme	1018	1495768	known_strain
brw	1019	1882945	known_strain
aoc	1020	35623	known_strain
ctz	1021	813	known_strain
ccr	1022	155892	known_strain
